#Teff log_g M_div_h F606W F814W 
7736.8421 1.5789474 -1.2142857 0.128 0.258
7736.8421 1.5789474 -0.78571429 0.137 0.269
6421.0526 0 0.071428571 0.211 0.604
7736.8421 1.5789474 -0.35714286 0.153 0.284
7736.8421 1.5789474 0.071428571 0.169 0.302
7736.8421 1.5789474 0.5 0.187 0.318
8000 1.5789474 -2.5 0.09 0.167
8000 1.5789474 -2.0714286 0.099 0.171
8000 1.5789474 -1.6428571 0.108 0.181
8000 1.5789474 -1.2142857 0.129 0.193
8000 1.5789474 -0.78571429 0.147 0.204
8000 1.5789474 -0.35714286 0.162 0.222
8000 1.5789474 0.071428571 0.164 0.235
6421.0526 0 0.5 0.241 0.619
8000 1.5789474 0.5 0.159 0.237
3000 1.8421053 -2.5 -1.32 0.44
3000 1.8421053 -2.0714286 -1.369 0.433
3000 1.8421053 -1.6428571 -1.546 0.428
3000 1.8421053 -1.2142857 -2.035 0.368
3000 1.8421053 -0.78571429 -2.819 0.196
3000 1.8421053 -0.35714286 -3.499 -0.064
3000 1.8421053 0.071428571 -3.905 -0.394
3000 1.8421053 0.5 -4.168 -0.766
3263.1579 1.8421053 -2.5 -1.048 0.484
3263.1579 1.8421053 -2.0714286 -1.076 0.468
6684.2105 0 -2.5 -0.035 0.296
3263.1579 1.8421053 -1.6428571 -1.196 0.441
3263.1579 1.8421053 -1.2142857 -1.499 0.384
3263.1579 1.8421053 -0.78571429 -1.975 0.29
3263.1579 1.8421053 -0.35714286 -2.564 0.131
3263.1579 1.8421053 0.071428571 -3.134 -0.107
3263.1579 1.8421053 0.5 -3.595 -0.414
3526.3158 1.8421053 -2.5 -0.887 0.488
3526.3158 1.8421053 -2.0714286 -0.914 0.454
3526.3158 1.8421053 -1.6428571 -0.962 0.426
3526.3158 1.8421053 -1.2142857 -1.059 0.405
6684.2105 0 -2.0714286 0.104 0.445
3526.3158 1.8421053 -0.78571429 -1.234 0.379
3526.3158 1.8421053 -0.35714286 -1.503 0.34
3526.3158 1.8421053 0.071428571 -1.83 0.292
3526.3158 1.8421053 0.5 -2.188 0.22
3789.4737 1.8421053 -2.5 -0.702 0.513
3789.4737 1.8421053 -2.0714286 -0.714 0.482
3789.4737 1.8421053 -1.6428571 -0.723 0.467
3789.4737 1.8421053 -1.2142857 -0.737 0.462
3789.4737 1.8421053 -0.78571429 -0.766 0.463
6684.2105 0 -1.6428571 0.156 0.472
3789.4737 1.8421053 -0.35714286 -0.826 0.468
3789.4737 1.8421053 0.071428571 -0.919 0.485
