# Isochrone by Pietrinferni - Cassisi - Salaris - Castelli 2006 ::: Standard Model 
#===========================================================================================================================
# Scaled solar model & transformations for ACS            (Castelli 2004)
#===========================================================================================================================
#  Np= 2000   [M/H]=-1.790   Z= 0.0003   Y=0.245   t(Gyr)= 13.3200    normalized:  3  2 2006 
#===========================================================================================================================
#     (M/Mo)in       (M/Mo)     log(L/Lo)  logTe     F435W   F475W   F555W   F606W   F625W   F775W   F814W
#===========================================================================================================================
   0.5397765711   0.5397765711  -0.90307  3.68968    8.203   7.837   7.356   7.098   6.856   6.377   6.313
   0.5405131742   0.5405131742  -0.89999  3.69008    8.192   7.827   7.347   7.089   6.848   6.369   6.305
   0.5412497774   0.5412497774  -0.89691  3.69049    8.181   7.817   7.338   7.080   6.840   6.361   6.298
   0.5419863806   0.5419863806  -0.89383  3.69089    8.169   7.806   7.328   7.071   6.831   6.354   6.290
   0.5427229837   0.5427229837  -0.89076  3.69129    8.158   7.796   7.319   7.062   6.823   6.346   6.283
   0.5434595869   0.5434595869  -0.88768  3.69170    8.147   7.786   7.310   7.054   6.815   6.339   6.276
   0.5441961901   0.5441961901  -0.88460  3.69211    8.136   7.776   7.300   7.045   6.806   6.331   6.268
   0.5449327932   0.5449327932  -0.88152  3.69251    8.125   7.765   7.291   7.036   6.798   6.323   6.261
   0.5456693964   0.5456693964  -0.87844  3.69292    8.114   7.755   7.282   7.027   6.790   6.316   6.253
   0.5464059996   0.5464059996  -0.87535  3.69333    8.102   7.745   7.272   7.019   6.781   6.308   6.246
   0.5471426027   0.5471426027  -0.87227  3.69373    8.091   7.735   7.263   7.010   6.773   6.301   6.238
   0.5478792059   0.5478586263  -0.86919  3.69414    8.080   7.724   7.254   7.001   6.765   6.293   6.231
   0.5486158091   0.5485627893  -0.86611  3.69455    8.069   7.714   7.244   6.992   6.756   6.285   6.224
   0.5493524122   0.5492659909  -0.86303  3.69496    8.058   7.704   7.235   6.984   6.748   6.278   6.216
   0.5500890154   0.5499762656  -0.85992  3.69538    8.047   7.694   7.226   6.975   6.740   6.270   6.209
   0.5508256186   0.5507443683  -0.85667  3.69586    8.034   7.683   7.216   6.966   6.731   6.262   6.201
   0.5515622217   0.5515114392  -0.85342  3.69635    8.022   7.672   7.206   6.956   6.722   6.254   6.193
   0.5522988249   0.5522774847  -0.85017  3.69683    8.010   7.661   7.196   6.947   6.713   6.247   6.185
   0.5530354281   0.5530354281  -0.84692  3.69732    7.998   7.650   7.186   6.938   6.704   6.239   6.178
   0.5537720313   0.5537720313  -0.84367  3.69780    7.986   7.639   7.176   6.928   6.696   6.231   6.170
   0.5545086344   0.5545086344  -0.84042  3.69828    7.974   7.628   7.166   6.919   6.687   6.223   6.162
   0.5552452376   0.5552452376  -0.83717  3.69877    7.962   7.617   7.156   6.910   6.678   6.215   6.154
   0.5559818408   0.5559818408  -0.83392  3.69925    7.950   7.606   7.146   6.901   6.669   6.207   6.147
   0.5567184439   0.5567184439  -0.83067  3.69973    7.938   7.595   7.136   6.891   6.661   6.199   6.139
   0.5574550471   0.5574550471  -0.82742  3.70022    7.926   7.584   7.127   6.882   6.652   6.191   6.131
   0.5581916503   0.5581916503  -0.82417  3.70070    7.914   7.573   7.117   6.873   6.643   6.184   6.124
   0.5589282534   0.5589282534  -0.82093  3.70118    7.902   7.562   7.107   6.864   6.634   6.176   6.116
   0.5596648566   0.5596648566  -0.81768  3.70167    7.890   7.551   7.097   6.855   6.626   6.168   6.108
   0.5604014598   0.5604014598  -0.81442  3.70215    7.878   7.540   7.087   6.846   6.617   6.160   6.101
