# Isochrone by Pietrinferni - Cassisi - Salaris - Castelli 2006 ::: Standard Model 
#===========================================================================================================================
# Scaled solar model & transformations for ACS            (Castelli 2004)
#===========================================================================================================================
#  Np= 2000   [M/H]=-1.790   Z= 0.0003   Y=0.245   t(Gyr)= 13.3200    normalized:  3  2 2006 
#===========================================================================================================================
#     (M/Mo)in       (M/Mo)     log(L/Lo)  logTe     F435W   F475W   F555W   F606W   F625W   F775W   F814W
#===========================================================================================================================
   0.7859424120   0.7847374631   0.99036  3.73120    3.109   2.870   2.509   2.307   2.111   1.709   1.657
   0.7859587324   0.7847495524   0.99249  3.73113    3.104   2.865   2.504   2.302   2.106   1.704   1.652
   0.7859750528   0.7847615889   0.99466  3.73105    3.099   2.860   2.499   2.297   2.100   1.699   1.646
   0.7859913733   0.7847735077   0.99684  3.73098    3.094   2.854   2.494   2.291   2.095   1.693   1.641
   0.7860076937   0.7847851584   0.99902  3.73091    3.089   2.849   2.488   2.286   2.089   1.687   1.635
   0.7860240141   0.7847968209   1.00120  3.73083    3.084   2.844   2.483   2.281   2.084   1.682   1.629
   0.7860403345   0.7848087133   1.00338  3.73076    3.079   2.839   2.478   2.275   2.079   1.676   1.624
   0.7860566549   0.7848205161   1.00556  3.73069    3.074   2.834   2.472   2.270   2.073   1.671   1.618
   0.7860729753   0.7848320204   1.00774  3.73062    3.069   2.829   2.467   2.265   2.068   1.665   1.613
   0.7860892957   0.7848435519   1.00991  3.73055    3.064   2.823   2.462   2.259   2.062   1.660   1.607
   0.7861056161   0.7848552861   1.01206  3.73048    3.059   2.818   2.457   2.254   2.057   1.654   1.602
   0.7861219365   0.7848668588   1.01421  3.73041    3.054   2.813   2.451   2.249   2.052   1.649   1.596
   0.7861382569   0.7848781808   1.01635  3.73034    3.049   2.808   2.446   2.243   2.046   1.643   1.591
   0.7861545773   0.7848896745   1.01847  3.73027    3.044   2.803   2.441   2.238   2.041   1.638   1.585
   0.7861708977   0.7849013518   1.02059  3.73021    3.039   2.798   2.436   2.233   2.036   1.633   1.580
   0.7861872181   0.7849126738   1.02271  3.73014    3.034   2.793   2.431   2.228   2.030   1.627   1.575
   0.7862035385   0.7849238412   1.02484  3.73007    3.029   2.788   2.426   2.222   2.025   1.622   1.569
   0.7862198589   0.7849352694   1.02699  3.73000    3.024   2.783   2.420   2.217   2.020   1.616   1.564
   0.7862361793   0.7849467908   1.02916  3.72994    3.019   2.778   2.415   2.212   2.014   1.611   1.558
   0.7862524997   0.7849583052   1.03132  3.72987    3.014   2.773   2.410   2.206   2.009   1.605   1.553
   0.7862688201   0.7849695694   1.03350  3.72980    3.009   2.767   2.404   2.201   2.004   1.600   1.547
   0.7862851405   0.7849805887   1.03570  3.72973    3.004   2.762   2.399   2.196   1.998   1.594   1.541
   0.7863014609   0.7849918490   1.03793  3.72966    2.999   2.757   2.394   2.190   1.993   1.588   1.536
   0.7863177813   0.7850031205   1.04018  3.72959    2.994   2.752   2.388   2.185   1.987   1.583   1.530
   0.7863341017   0.7850140669   1.04245  3.72952    2.988   2.746   2.383   2.179   1.981   1.577   1.524
   0.7863504221   0.7850251285   1.04475  3.72945    2.983   2.741   2.377   2.173   1.976   1.571   1.518
   0.7863667425   0.7850364432   1.04706  3.72937    2.978   2.735   2.371   2.168   1.970   1.565   1.512
   0.7863830629   0.7850474272   1.04942  3.72930    2.972   2.730   2.366   2.162   1.964   1.559   1.506
   0.7863993833   0.7850583134   1.05181  3.72922    2.967   2.724   2.360   2.156   1.958   1.553   1.500
   0.7864157037   0.7850694656   1.05420  3.72915    2.961   2.718   2.354   2.150   1.952   1.547   1.494
   0.7864320241   0.7850804436   1.05661  3.72907    2.956   2.713   2.348   2.144   1.946   1.541   1.488
   0.7864483445   0.7850911990   1.05901  3.72899    2.950   2.707   2.342   2.138   1.940   1.535   1.482
   0.7864646649   0.7851022252   1.06138  3.72892    2.945   2.701   2.337   2.132   1.934   1.529   1.476
   0.7864809853   0.7851131868   1.06375  3.72885    2.939   2.696   2.331   2.126   1.928   1.523   1.470
   0.7864973057   0.7851238324   1.06613  3.72877    2.934   2.690   2.325   2.121   1.922   1.517   1.464
   0.7865136261   0.7851343252   1.06850  3.72870    2.928   2.684   2.319   2.115   1.916   1.511   1.458
   0.7865299465   0.7851449027   1.07086  3.72863    2.923   2.679   2.313   2.109   1.911   1.505   1.452
   0.7865462669   0.7851557470   1.07321  3.72855    2.917   2.673   2.308   2.103   1.905   1.499   1.446
   0.7865625873   0.7851663157   1.07555  3.72848    2.912   2.668   2.302   2.097   1.899   1.493   1.440
   0.7865789077   0.7851767514   1.07789  3.72841    2.906   2.662   2.296   2.092   1.893   1.487   1.434
   0.7865952281   0.7851874637   1.08025  3.72834    2.901   2.656   2.291   2.086   1.887   1.481   1.428
   0.7866115485   0.7851979433   1.08264  3.72827    2.895   2.651   2.285   2.080   1.881   1.475   1.422
   0.7866278689   0.7852083137   1.08505  3.72819    2.890   2.645   2.279   2.074   1.875   1.469   1.416
   0.7866441893   0.7852189113   1.08747  3.72812    2.884   2.639   2.273   2.068   1.869   1.462   1.409
   0.7866605097   0.7852291672   1.08989  3.72805    2.878   2.634   2.267   2.062   1.863   1.456   1.403
   0.7866768301   0.7852393989   1.09228  3.72797    2.873   2.628   2.261   2.056   1.857   1.450   1.397
   0.7866931505   0.7852498456   1.09467  3.72790    2.867   2.622   2.255   2.050   1.851   1.444   1.391
   0.7867094709   0.7852599291   1.09714  3.72783    2.862   2.616   2.249   2.044   1.845   1.438   1.385
   0.7867257913   0.7852700999   1.09961  3.72775    2.856   2.610   2.243   2.038   1.839   1.432   1.378
   0.7867421117   0.7852803493   1.10207  3.72768    2.850   2.605   2.237   2.032   1.833   1.425   1.372
   0.7867584321   0.7852902495   1.10453  3.72761    2.844   2.599   2.231   2.026   1.827   1.419   1.366
   0.7867747525   0.7853000103   1.10700  3.72753    2.839   2.593   2.225   2.020   1.820   1.413   1.360
   0.7867910729   0.7853100000   1.10949  3.72746    2.833   2.587   2.219   2.013   1.814   1.406   1.353
   0.7868073933   0.7853200762   1.11201  3.72738    2.827   2.581   2.213   2.007   1.808   1.400   1.347
   0.7868237138   0.7853297877   1.11457  3.72731    2.821   2.575   2.207   2.001   1.802   1.394   1.340
   0.7868400342   0.7853397702   1.11715  3.72723    2.815   2.569   2.201   1.995   1.795   1.387   1.334
   0.7868563546   0.7853496279   1.11978  3.72715    2.809   2.562   2.194   1.988   1.789   1.380   1.327
   0.7868726750   0.7853591756   1.12247  3.72707    2.803   2.556   2.188   1.981   1.782   1.373   1.320
   0.7868889954   0.7853686642   1.12520  3.72699    2.796   2.550   2.181   1.975   1.775   1.366   1.313
   0.7869053158   0.7853785788   1.12799  3.72690    2.790   2.543   2.174   1.968   1.768   1.359   1.306
   0.7869216362   0.7853882811   1.13077  3.72682    2.784   2.536   2.167   1.961   1.761   1.352   1.299
   0.7869379566   0.7853976766   1.13352  3.72674    2.777   2.530   2.161   1.954   1.754   1.345   1.292
   0.7869542770   0.7854069676   1.13625  3.72665    2.771   2.523   2.154   1.947   1.748   1.338   1.285
   0.7869705974   0.7854161582   1.13898  3.72657    2.765   2.517   2.147   1.941   1.741   1.331   1.278
   0.7869869178   0.7854252210   1.14169  3.72649    2.758   2.510   2.141   1.934   1.734   1.325   1.271
   0.7870032382   0.7854346292   1.14438  3.72642    2.752   2.504   2.134   1.927   1.727   1.318   1.264
   0.7870195586   0.7854439693   1.14705  3.72634    2.746   2.498   2.128   1.921   1.721   1.311   1.258
   0.7870358790   0.7854529404   1.14971  3.72626    2.740   2.491   2.121   1.914   1.714   1.304   1.251
   0.7870521994   0.7854617422   1.15237  3.72619    2.733   2.485   2.115   1.908   1.707   1.297   1.244
   0.7870685198   0.7854705077   1.15496  3.72612    2.727   2.479   2.108   1.901   1.701   1.291   1.237
   0.7870848402   0.7854797132   1.15763  3.72604    2.721   2.472   2.102   1.895   1.694   1.284   1.231
   0.7871011606   0.7854885548   1.16032  3.72596    2.715   2.466   2.095   1.888   1.688   1.277   1.224
   0.7871174810   0.7854975257   1.16303  3.72589    2.709   2.459   2.089   1.881   1.681   1.270   1.217
   0.7871338014   0.7855063490   1.16573  3.72581    2.702   2.453   2.082   1.875   1.674   1.263   1.210
   0.7871501218   0.7855148561   1.16843  3.72574    2.696   2.447   2.075   1.868   1.667   1.257   1.203
   0.7871664422   0.7855234642   1.17115  3.72566    2.690   2.440   2.069   1.861   1.661   1.250   1.196
   0.7871827626   0.7855321327   1.17388  3.72558    2.683   2.434   2.062   1.855   1.654   1.243   1.189
   0.7871990830   0.7855404140   1.17660  3.72551    2.677   2.427   2.055   1.848   1.647   1.236   1.182
   0.7872154034   0.7855486679   1.17929  3.72543    2.671   2.421   2.049   1.841   1.640   1.229   1.175
   0.7872317238   0.7855571777   1.18205  3.72536    2.664   2.414   2.042   1.834   1.633   1.222   1.168
   0.7872480442   0.7855652464   1.18489  3.72528    2.658   2.407   2.035   1.827   1.626   1.215   1.161
   0.7872643646   0.7855732028   1.18777  3.72519    2.651   2.400   2.028   1.820   1.619   1.207   1.154
   0.7872806850   0.7855815642   1.19070  3.72511    2.644   2.393   2.021   1.813   1.612   1.200   1.146
   0.7872970054   0.7855895509   1.19371  3.72502    2.637   2.386   2.014   1.806   1.604   1.192   1.139
   0.7873133258   0.7855973009   1.19681  3.72493    2.630   2.379   2.006   1.798   1.597   1.185   1.131
   0.7873296462   0.7856050224   1.19997  3.72484    2.623   2.371   1.998   1.790   1.589   1.176   1.123
   0.7873459666   0.7856126747   1.20309  3.72475    2.615   2.364   1.991   1.782   1.581   1.169   1.115
   0.7873622870   0.7856203529   1.20629  3.72466    2.608   2.356   1.983   1.775   1.573   1.160   1.107
   0.7873786074   0.7856284513   1.20951  3.72456    2.600   2.349   1.975   1.767   1.565   1.152   1.098
   0.7873949278   0.7856361169   1.21269  3.72447    2.593   2.341   1.967   1.759   1.557   1.144   1.090
   0.7874112482   0.7856434464   1.21582  3.72438    2.586   2.334   1.960   1.751   1.549   1.136   1.082
   0.7874275686   0.7856506471   1.21891  3.72429    2.579   2.326   1.952   1.743   1.542   1.128   1.074
   0.7874438890   0.7856577025   1.22197  3.72420    2.572   2.319   1.945   1.736   1.534   1.121   1.067
   0.7874602094   0.7856645935   1.22501  3.72411    2.564   2.312   1.937   1.728   1.527   1.113   1.059
   0.7874765298   0.7856714254   1.22811  3.72402    2.557   2.305   1.930   1.721   1.519   1.105   1.051
   0.7874928502   0.7856786546   1.23124  3.72393    2.550   2.297   1.922   1.713   1.511   1.097   1.043
   0.7875091706   0.7856856534   1.23438  3.72384    2.543   2.290   1.914   1.705   1.503   1.089   1.035
   0.7875254910   0.7856922572   1.23749  3.72375    2.536   2.282   1.907   1.698   1.495   1.081   1.027
   0.7875418114   0.7856986861   1.24059  3.72366    2.528   2.275   1.899   1.690   1.488   1.073   1.019
   0.7875581318   0.7857052427   1.24370  3.72357    2.521   2.267   1.892   1.682   1.480   1.065   1.011
   0.7875744522   0.7857119057   1.24683  3.72348    2.514   2.260   1.884   1.674   1.472   1.057   1.003
   0.7875907726   0.7857181058   1.24996  3.72339    2.507   2.253   1.877   1.667   1.464   1.049   0.995
   0.7876070930   0.7857240863   1.25298  3.72330    2.500   2.245   1.869   1.659   1.457   1.042   0.988
   0.7876234134   0.7857305931   1.25610  3.72320    2.492   2.238   1.862   1.652   1.449   1.034   0.980
   0.7876397338   0.7857366143   1.25933  3.72311    2.485   2.230   1.854   1.644   1.441   1.026   0.971
   0.7876560542   0.7857422810   1.26259  3.72301    2.477   2.223   1.846   1.636   1.433   1.017   0.963
   0.7876723747   0.7857478165   1.26593  3.72291    2.470   2.215   1.838   1.627   1.425   1.009   0.955
   0.7876886951   0.7857539610   1.26937  3.72281    2.462   2.207   1.829   1.619   1.416   1.000   0.946
   0.7877050155   0.7857596571   1.27292  3.72270    2.454   2.198   1.821   1.610   1.407   0.991   0.937
   0.7877213359   0.7857650116   1.27659  3.72258    2.445   2.190   1.812   1.601   1.398   0.982   0.927
   0.7877376563   0.7857703647   1.28032  3.72247    2.437   2.181   1.803   1.592   1.389   0.972   0.918
   0.7877539767   0.7857753264   1.28397  3.72235    2.428   2.172   1.794   1.583   1.380   0.963   0.909
   0.7877702971   0.7857799235   1.28756  3.72224    2.420   2.164   1.785   1.574   1.371   0.954   0.899
   0.7877866175   0.7857847253   1.29118  3.72213    2.412   2.155   1.776   1.565   1.362   0.945   0.890
   0.7878029379   0.7857894667   1.29477  3.72202    2.403   2.147   1.768   1.556   1.353   0.936   0.881
   0.7878192583   0.7857940055   1.29832  3.72191    2.395   2.138   1.759   1.548   1.344   0.927   0.872
   0.7878355787   0.7857986536   1.30189  3.72180    2.387   2.130   1.750   1.539   1.335   0.917   0.863
   0.7878518991   0.7858033968   1.30547  3.72169    2.379   2.121   1.741   1.530   1.326   0.908   0.854
   0.7878682195   0.7858076338   1.30904  3.72158    2.371   2.113   1.733   1.521   1.317   0.899   0.845
   0.7878845399   0.7858116003   1.31261  3.72147    2.362   2.104   1.724   1.512   1.308   0.890   0.836
   0.7879008603   0.7858154193   1.31617  3.72136    2.354   2.096   1.715   1.504   1.300   0.881   0.826
   0.7879171807   0.7858190021   1.31979  3.72125    2.346   2.087   1.707   1.495   1.291   0.872   0.817
   0.7879335011   0.7858224651   1.32337  3.72114    2.338   2.079   1.698   1.486   1.282   0.863   0.808
   0.7879498215   0.7858257317   1.32687  3.72103    2.330   2.071   1.689   1.477   1.273   0.854   0.799
   0.7879661419   0.7858288887   1.33047  3.72093    2.321   2.062   1.681   1.468   1.264   0.845   0.790
   0.7879824623   0.7858318793   1.33411  3.72081    2.313   2.054   1.672   1.459   1.255   0.836   0.781
   0.7879987827   0.7858353476   1.33781  3.72070    2.305   2.045   1.663   1.450   1.246   0.826   0.771
   0.7880151031   0.7858381902   1.34160  3.72059    2.296   2.036   1.654   1.441   1.236   0.817   0.762
   0.7880314235   0.7858407076   1.34546  3.72047    2.287   2.027   1.644   1.432   1.227   0.807   0.752
   0.7880477439   0.7858431280   1.34948  3.72034    2.278   2.017   1.635   1.422   1.217   0.797   0.742
   0.7880640643   0.7858447733   1.35366  3.72022    2.268   2.007   1.624   1.411   1.206   0.786   0.731
   0.7880803847   0.7858468529   1.35795  3.72008    2.258   1.997   1.614   1.401   1.196   0.775   0.720
   0.7880967051   0.7858489543   1.36222  3.71995    2.249   1.987   1.604   1.390   1.185   0.764   0.709
   0.7881130255   0.7858504855   1.36639  3.71982    2.239   1.977   1.594   1.380   1.175   0.754   0.698
   0.7881293459   0.7858515758   1.37051  3.71969    2.230   1.968   1.584   1.370   1.164   0.743   0.688
   0.7881456663   0.7858528439   1.37462  3.71957    2.220   1.958   1.574   1.360   1.154   0.733   0.677
   0.7881619867   0.7858539418   1.37873  3.71944    2.211   1.948   1.564   1.350   1.144   0.722   0.667
   0.7881783071   0.7858548412   1.38287  3.71932    2.201   1.939   1.554   1.339   1.134   0.712   0.656
   0.7881946275   0.7858550378   1.38693  3.71919    2.192   1.929   1.544   1.329   1.124   0.701   0.646
   0.7882109479   0.7858550643   1.39101  3.71907    2.183   1.919   1.534   1.319   1.113   0.691   0.636
   0.7882272683   0.7858551668   1.39514  3.71895    2.173   1.910   1.524   1.309   1.103   0.681   0.625
   0.7882435887   0.7858551025   1.39926  3.71882    2.164   1.900   1.514   1.299   1.093   0.670   0.615
   0.7882599091   0.7858548270   1.40338  3.71870    2.154   1.890   1.504   1.289   1.083   0.660   0.604
   0.7882762295   0.7858543025   1.40752  3.71857    2.145   1.880   1.494   1.279   1.072   0.649   0.594
   0.7882925499   0.7858534947   1.41169  3.71845    2.135   1.871   1.484   1.269   1.062   0.638   0.583
   0.7883088703   0.7858524500   1.41591  3.71832    2.126   1.861   1.473   1.258   1.052   0.628   0.572
   0.7883251907   0.7858505155   1.42022  3.71819    2.116   1.851   1.463   1.248   1.041   0.617   0.561
   0.7883415111   0.7858488840   1.42467  3.71806    2.106   1.840   1.452   1.237   1.030   0.606   0.550
   0.7883578315   0.7858472169   1.42927  3.71791    2.095   1.829   1.441   1.225   1.018   0.594   0.538
   0.7883741519   0.7858447843   1.43409  3.71776    2.084   1.818   1.429   1.214   1.006   0.582   0.526
   0.7883904723   0.7858420645   1.43891  3.71760    2.073   1.807   1.418   1.202   0.994   0.569   0.514
   0.7884067927   0.7858394142   1.44366  3.71745    2.062   1.795   1.406   1.190   0.983   0.557   0.501
   0.7884231131   0.7858359447   1.44836  3.71730    2.052   1.784   1.395   1.179   0.971   0.545   0.489
   0.7884394335   0.7858326581   1.45305  3.71714    2.041   1.773   1.384   1.167   0.959   0.533   0.477
   0.7884557539   0.7858285971   1.45774  3.71699    2.031   1.763   1.372   1.156   0.948   0.522   0.466
   0.7884720743   0.7858246671   1.46240  3.71684    2.020   1.752   1.361   1.144   0.936   0.510   0.454
   0.7884883947   0.7858199034   1.46708  3.71668    2.009   1.741   1.350   1.133   0.924   0.498   0.442
   0.7885047151   0.7858153431   1.47167  3.71653    1.999   1.730   1.339   1.121   0.913   0.486   0.430
   0.7885210356   0.7858099100   1.47638  3.71637    1.988   1.719   1.327   1.110   0.901   0.474   0.418
   0.7885373560   0.7858047061   1.48127  3.71621    1.977   1.708   1.315   1.098   0.889   0.462   0.405
   0.7885536764   0.7857987733   1.48645  3.71603    1.966   1.695   1.303   1.085   0.876   0.449   0.392
   0.7885699968   0.7857923989   1.49181  3.71585    1.954   1.683   1.290   1.072   0.863   0.435   0.379
   0.7885863172   0.7857856841   1.49716  3.71566    1.942   1.671   1.277   1.059   0.850   0.421   0.365
   0.7886026376   0.7857784983   1.50240  3.71548    1.930   1.658   1.264   1.046   0.837   0.408   0.352
   0.7886189580   0.7857707932   1.50762  3.71530    1.918   1.646   1.252   1.033   0.824   0.395   0.338
   0.7886352784   0.7857626470   1.51284  3.71512    1.907   1.634   1.239   1.020   0.811   0.381   0.325
   0.7886515988   0.7857541232   1.51802  3.71494    1.895   1.622   1.227   1.008   0.798   0.368   0.312
   0.7886679192   0.7857450976   1.52322  3.71477    1.883   1.610   1.214   0.995   0.785   0.355   0.298
   0.7886842396   0.7857356555   1.52845  3.71459    1.872   1.598   1.202   0.982   0.772   0.342   0.285
   0.7887005600   0.7857257424   1.53372  3.71440    1.860   1.586   1.189   0.969   0.759   0.328   0.272
   0.7887168804   0.7857154337   1.53918  3.71421    1.848   1.573   1.176   0.956   0.746   0.314   0.258
   0.7887332008   0.7857047137   1.54497  3.71401    1.835   1.559   1.162   0.942   0.731   0.300   0.243
   0.7887495212   0.7856927296   1.55080  3.71381    1.822   1.546   1.148   0.928   0.717   0.285   0.228
   0.7887658416   0.7856806214   1.55661  3.71360    1.809   1.532   1.134   0.913   0.702   0.270   0.213
   0.7887821620   0.7856681662   1.56241  3.71340    1.796   1.519   1.120   0.899   0.688   0.255   0.198
   0.7887984824   0.7856547849   1.56824  3.71319    1.783   1.505   1.106   0.885   0.673   0.241   0.183
   0.7888148028   0.7856411023   1.57404  3.71299    1.770   1.492   1.092   0.871   0.659   0.226   0.169
   0.7888311232   0.7856266311   1.57986  3.71279    1.757   1.479   1.078   0.857   0.645   0.211   0.154
   0.7888474436   0.7856111777   1.58570  3.71258    1.744   1.465   1.064   0.842   0.630   0.196   0.139
   0.7888637640   0.7855953979   1.59155  3.71238    1.731   1.452   1.050   0.828   0.616   0.181   0.124
   0.7888800844   0.7855789963   1.59770  3.71216    1.717   1.437   1.035   0.813   0.601   0.166   0.108
   0.7888964048   0.7855615795   1.60426  3.71192    1.703   1.422   1.020   0.797   0.584   0.149   0.092
   0.7889127252   0.7855435385   1.61080  3.71169    1.688   1.407   1.004   0.781   0.568   0.132   0.075
   0.7889290456   0.7855246018   1.61714  3.71146    1.674   1.392   0.989   0.766   0.552   0.116   0.059
   0.7889453660   0.7855052644   1.62347  3.71123    1.660   1.378   0.974   0.750   0.537   0.100   0.043
   0.7889616864   0.7854844594   1.62984  3.71100    1.646   1.363   0.958   0.735   0.521   0.084   0.026
   0.7889780068   0.7854631027   1.63614  3.71078    1.632   1.349   0.943   0.719   0.505   0.068   0.010
   0.7889943272   0.7854409972   1.64251  3.71054    1.618   1.334   0.928   0.704   0.490   0.052  -0.006
   0.7890106476   0.7854179479   1.64900  3.71031    1.604   1.319   0.912   0.688   0.474   0.035  -0.023
   0.7890269680   0.7853941857   1.65588  3.71005    1.589   1.303   0.896   0.671   0.457   0.018  -0.040
   0.7890432884   0.7853690022   1.66310  3.70978    1.573   1.287   0.879   0.654   0.439   0.000  -0.059
   0.7890596088   0.7853426003   1.67023  3.70951    1.557   1.270   0.862   0.636   0.421  -0.019  -0.077
   0.7890759292   0.7853156720   1.67733  3.70924    1.542   1.254   0.845   0.619   0.404  -0.037  -0.095
   0.7890922496   0.7852877478   1.68436  3.70897    1.526   1.238   0.828   0.602   0.386  -0.054  -0.113
   0.7891085700   0.7852578310   1.69141  3.70870    1.511   1.222   0.811   0.585   0.369  -0.072  -0.131
   0.7891248904   0.7852273715   1.69852  3.70843    1.496   1.206   0.794   0.567   0.351  -0.090  -0.149
   0.7891412108   0.7851957475   1.70579  3.70816    1.480   1.189   0.777   0.550   0.333  -0.109  -0.168
   0.7891575312   0.7851627042   1.71365  3.70787    1.463   1.171   0.758   0.531   0.314  -0.129  -0.188
   0.7891738516   0.7851277251   1.72168  3.70757    1.445   1.153   0.739   0.511   0.294  -0.149  -0.208
   0.7891901720   0.7850916771   1.72962  3.70728    1.428   1.135   0.720   0.492   0.275  -0.169  -0.228
   0.7892064924   0.7850542251   1.73764  3.70698    1.410   1.116   0.701   0.472   0.255  -0.190  -0.249
   0.7892228128   0.7850153904   1.74571  3.70669    1.393   1.098   0.682   0.453   0.235  -0.210  -0.269
   0.7892391332   0.7849742291   1.75367  3.70640    1.375   1.080   0.663   0.433   0.215  -0.230  -0.290
   0.7892554536   0.7849320232   1.76182  3.70610    1.357   1.061   0.643   0.413   0.195  -0.251  -0.310
   0.7892717740   0.7848875142   1.77080  3.70577    1.338   1.041   0.622   0.392   0.173  -0.274  -0.333
   0.7892880944   0.7848410656   1.77978  3.70543    1.318   1.020   0.600   0.370   0.151  -0.297  -0.356
   0.7893044148   0.7847924879   1.78867  3.70510    1.299   1.000   0.579   0.348   0.129  -0.319  -0.379
   0.7893207352   0.7847425926   1.79745  3.70477    1.280   0.980   0.558   0.327   0.107  -0.342  -0.401
   0.7893370556   0.7846897259   1.80622  3.70443    1.261   0.960   0.537   0.306   0.086  -0.364  -0.423
   0.7893533761   0.7846346438   1.81510  3.70409    1.242   0.940   0.516   0.284   0.064  -0.386  -0.446
   0.7893696965   0.7845778013   1.82489  3.70370    1.221   0.918   0.493   0.261   0.040  -0.411  -0.471
   0.7893860169   0.7845177207   1.83476  3.70331    1.200   0.896   0.470   0.237   0.016  -0.436  -0.496
   0.7894023373   0.7844548104   1.84456  3.70291    1.179   0.874   0.447   0.213  -0.008  -0.461  -0.521
   0.7894186577   0.7843891009   1.85428  3.70251    1.159   0.852   0.424   0.190  -0.032  -0.486  -0.546
   0.7894349781   0.7843210843   1.86393  3.70211    1.138   0.831   0.401   0.166  -0.056  -0.510  -0.571
   0.7894512985   0.7842490360   1.87399  3.70168    1.117   0.808   0.377   0.142  -0.081  -0.536  -0.596
   0.7894676189   0.7841742456   1.88505  3.70119    1.094   0.784   0.351   0.115  -0.108  -0.564  -0.625
   0.7894839393   0.7840957706   1.89588  3.70071    1.072   0.760   0.326   0.089  -0.134  -0.591  -0.652
   0.7895002597   0.7840127538   1.90658  3.70024    1.050   0.736   0.301   0.064  -0.160  -0.618  -0.679
   0.7895165801   0.7839266263   1.91718  3.69976    1.028   0.713   0.276   0.038  -0.186  -0.645  -0.706
   0.7895329005   0.7838356568   1.92820  3.69926    1.005   0.688   0.250   0.012  -0.213  -0.673  -0.735
   0.7895492209   0.7837402060   1.94026  3.69872    0.980   0.662   0.222  -0.017  -0.243  -0.704  -0.765
   0.7895655413   0.7836396403   1.95208  3.69823    0.955   0.636   0.194  -0.045  -0.272  -0.734  -0.795
   0.7895818617   0.7835346349   1.96365  3.69775    0.931   0.610   0.167  -0.073  -0.300  -0.763  -0.825
   0.7895981821   0.7834238548   1.97515  3.69728    0.907   0.585   0.140  -0.101  -0.328  -0.792  -0.854
   0.7896145025   0.7833070181   1.98790  3.69675    0.881   0.556   0.110  -0.132  -0.359  -0.824  -0.887
   0.7896308229   0.7831846913   2.00039  3.69621    0.855   0.529   0.081  -0.161  -0.390  -0.856  -0.918
   0.7896471433   0.7830555317   2.01248  3.69570    0.830   0.502   0.053  -0.190  -0.419  -0.887  -0.949
   0.7896634637   0.7829200384   2.02396  3.69522    0.806   0.477   0.026  -0.218  -0.447  -0.916  -0.978
   0.7896797841   0.7827771151   2.03640  3.69470    0.781   0.450  -0.003  -0.248  -0.478  -0.947  -1.010
   0.7896961045   0.7826277567   2.04765  3.69423    0.758   0.425  -0.029  -0.275  -0.505  -0.976  -1.039
   0.7897124249   0.7824718572   2.05681  3.69386    0.739   0.405  -0.051  -0.297  -0.528  -0.999  -1.062
   0.7897287453   0.7823113628   2.06416  3.69358    0.723   0.388  -0.068  -0.314  -0.546  -1.017  -1.081
   0.7897450657   0.7821460108   2.06870  3.69344    0.714   0.378  -0.079  -0.325  -0.557  -1.029  -1.092
   0.7897461737   0.7821347223   2.06870  3.69345    0.714   0.378  -0.079  -0.325  -0.557  -1.029  -1.092
   0.7897472817   0.7821234746   2.06880  3.69345    0.713   0.378  -0.079  -0.326  -0.557  -1.029  -1.093
   0.7897483898   0.7821121321   2.06879  3.69346    0.713   0.378  -0.079  -0.326  -0.557  -1.029  -1.093
   0.7897494978   0.7821007558   2.06875  3.69346    0.713   0.378  -0.079  -0.326  -0.557  -1.029  -1.092
   0.7897506058   0.7820893706   2.06876  3.69347    0.713   0.378  -0.079  -0.326  -0.557  -1.029  -1.092
   0.7897517138   0.7820779960   2.06873  3.69348    0.713   0.378  -0.079  -0.326  -0.557  -1.029  -1.092
   0.7897528218   0.7820674730   2.06872  3.69348    0.713   0.378  -0.079  -0.326  -0.557  -1.029  -1.092
   0.7897539299   0.7820560381   2.06859  3.69349    0.713   0.378  -0.079  -0.325  -0.557  -1.029  -1.092
   0.7897550379   0.7820445593   2.06844  3.69351    0.714   0.378  -0.078  -0.325  -0.556  -1.028  -1.092
   0.7897561459   0.7820330264   2.06826  3.69352    0.714   0.378  -0.078  -0.325  -0.556  -1.028  -1.091
   0.7897572539   0.7820224050   2.06808  3.69354    0.714   0.379  -0.078  -0.324  -0.555  -1.027  -1.091
   0.7897583619   0.7820108567   2.06785  3.69356    0.715   0.379  -0.077  -0.324  -0.555  -1.027  -1.090
   0.7897594700   0.7819992694   2.06761  3.69357    0.715   0.380  -0.077  -0.323  -0.554  -1.026  -1.089
   0.7897605780   0.7819886079   2.06735  3.69359    0.715   0.380  -0.076  -0.322  -0.554  -1.025  -1.089
   0.7897616860   0.7819769920   2.06706  3.69361    0.716   0.381  -0.075  -0.322  -0.553  -1.025  -1.088
   0.7897627940   0.7819662590   2.06679  3.69363    0.716   0.381  -0.075  -0.321  -0.552  -1.024  -1.087
   0.7897639020   0.7819545588   2.06646  3.69366    0.717   0.382  -0.074  -0.320  -0.551  -1.023  -1.087
   0.7897650101   0.7819438113   2.06612  3.69368    0.718   0.383  -0.073  -0.320  -0.551  -1.022  -1.086
   0.7897661181   0.7819321461   2.06578  3.69370    0.718   0.383  -0.073  -0.319  -0.550  -1.021  -1.085
   0.7897672261   0.7819213548   2.06546  3.69372    0.719   0.384  -0.072  -0.318  -0.549  -1.021  -1.084
   0.7897683341   0.7819103112   2.06513  3.69375    0.719   0.385  -0.071  -0.317  -0.548  -1.020  -1.083
