                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20201225"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                                star_age                                star_mass                                   log_LH                                  log_LHe                             he_core_mass                              c_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                          log_surf_cell_z                        v_div_csound_surf            surf_avg_omega_div_omega_crit                  surf_r_equatorial_div_r                       surf_r_polar_div_r                             log_cntr_Rho                               log_cntr_T                             center_gamma                                center_h1                               center_he4                               center_c12                               surface_h1                              surface_he3                              surface_he4                              surface_c12                              surface_o16                 surf_num_c12_div_num_o16                                 bc_F606W                                 bc_F814W                                  bc_bb_U                                  bc_bb_B                                  bc_bb_V                                  bc_bb_R                                  bc_bb_I                            abs_mag_F606W                            abs_mag_F814W                             abs_mag_bb_U                             abs_mag_bb_B                             abs_mag_bb_V                             abs_mag_bb_R                             abs_mag_bb_I                                num_iters 
                 1.0000000000000001E-005                  7.4999999999999956E-001                 -1.6590906766428347E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7047926445674437E+000                  1.9244427418386845E+000                  1.0758949182370816E+000                  2.1611607803306616E+000                 -3.6989700043360663E+000                 -5.1169593755390957E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3251981818240575E+000                  5.6993461899562581E+000                  8.4803460806183562E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999985E-001                  2.5583398265620443E-005                  2.4037441660173442E-001                  3.4416073257056058E-005                  9.3604492797731746E-005                  4.9023392258781318E-001                 -5.5582263946064525E-002                  6.4242733231735505E-001                 -1.0473278716984515E+000                 -1.0331733024670169E+000                 -2.2657504201596482E-001                  2.9312071328605321E-001                  7.7826199485292435E-001                 -1.5524590650646541E-002                 -7.1353418691406612E-001                  9.7622101710174047E-001                  9.6206644787030582E-001                  1.5546818741925375E-001                 -3.6422756788276428E-001                 -8.4936884944963542E-001                                        5 
                 2.5958682111999992E-004                  7.4999999999998646E-001                 -1.6590906868514406E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7034497189545768E+000                  1.9187957222981602E+000                  1.0757572596925535E+000                  2.1614360974197098E+000                 -3.6989700043360663E+000                 -3.9949603990519306E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3251980975613802E+000                  5.6993462458340201E+000                  8.4803455379668657E-002                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620446E-005                  2.4037441660173442E-001                  3.4416073257056065E-005                  9.3604492797731760E-005                  4.9023392258781323E-001                 -5.8810149868648610E-002                  6.4341690603582624E-001                 -1.0601620424508851E+000                 -1.0412605176848722E+000                 -2.3059316260873358E-001                  2.9175016485303540E-001                  7.7941386220113995E-001                  1.8208441232483233E-003                 -7.0040621178122653E-001                  1.0031727367054848E+000                  9.8427121193947187E-001                  1.7360385686333329E-001                 -3.4873947059843569E-001                 -8.3640316794654024E-001                                        5 
                 1.8668799962237360E-003                  7.4999999999990363E-001                 -1.6590904838325997E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6995889624618292E+000                  1.9024394089837684E+000                  1.0753006160208520E+000                  2.1623493847630653E+000                 -3.6989700043360663E+000                 -1.5142792419586174E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3251977502808590E+000                  5.6993464764084623E+000                  8.4803432960214253E-002                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620450E-005                  2.4037441660173445E-001                  3.4416073257056072E-005                  9.3604492797731746E-005                  4.9023392258781340E-001                 -6.8088774123219398E-002                  6.4626056935481169E-001                 -1.0970588031542523E+000                 -1.0645103287093398E+000                 -2.4214479588901763E-001                  2.8780999617826170E-001                  7.8272534797836313E-001                  5.1990251663798392E-002                 -6.6235909181423269E-001                  1.0809602806948313E+000                  1.0484118062499188E+000                  2.2604627342959663E-001                 -3.0390851863768270E-001                 -7.9882387043778413E-001                                        5 
                 1.1818815689988476E-002                  7.4999999999941025E-001                 -1.6590898565267270E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6963255007201727E+000                  1.8882870203912376E+000                  1.0747513452078996E+000                  2.1634479263886846E+000                 -3.6989700043360663E+000                 -1.7024384648235376E-003                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3251971078556153E+000                  5.6993469063139051E+000                  8.4803390828669389E-002                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4416073257056058E-005                  7.5939999999999985E-001                  2.5583398265620446E-005                  2.4037441660173439E-001                  3.4416073257056072E-005                  9.3604492797731746E-005                  4.9023392258781340E-001                 -7.5931268711427802E-002                  6.4866014144088746E-001                 -1.1292597031661200E+000                 -1.0849739953787485E+000                 -2.5256847360434526E-001                  2.8394516262176950E-001                  7.8509139513561088E-001                  9.5213717733334147E-002                 -6.2937769241898112E-001                  1.1485421521880264E+000                  1.1042564444006548E+000                  2.7185092262625160E-001                 -2.6466271359986315E-001                 -7.6580894611370454E-001                                        5 
                 7.3438578398454205E-002                  7.4999999999640887E-001                 -1.6590850587387209E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6956956765258089E+000                  1.8853330824353747E+000                  1.0745340246186963E+000                  2.1638825675653530E+000                 -3.6989700043360663E+000                 -6.6662425973900582E-005                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3251925461922411E+000                  5.6993499545566380E+000                  8.4803092522051760E-002                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4416073257056058E-005                  7.5940000000000007E-001                  2.5583398265620453E-005                  2.4037441660173450E-001                  3.4416073257056078E-005                  9.3604492797731760E-005                  4.9023392258781340E-001                 -7.7445937821857783E-002                  6.4911991065981944E-001                 -1.1355199777799099E+000                 -1.0889599628463547E+000                 -2.5460994690794075E-001                  2.8317514261233306E-001                  7.8552845780605440E-001                  1.0411323173342109E-001                 -6.2245261674825614E-001                  1.1621872716914732E+000                  1.1156272567579180E+000                  2.8127724081950406E-001                 -2.5650784870076976E-001                 -7.5886116389449110E-001                                        5 
                 4.5497190750010674E-001                  7.4999999997786515E-001                 -1.6590499465168147E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6956686391274109E+000                  1.8851171918183969E+000                  1.0744801541070024E+000                  2.1639903085780028E+000                 -3.6989700043360663E+000                 -5.0540177199751999E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3251564741268647E+000                  5.6993740074778447E+000                  8.4800743715456636E-002                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4416073257056058E-005                  7.5940000000000007E-001                  2.5583398265620443E-005                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731719E-005                  4.9023392258781329E-001                 -7.7511587537005641E-002                  6.4913825834631234E-001                 -1.1357887217132612E+000                 -1.0891310742818012E+000                 -2.5469758420810518E-001                  2.8314208684100323E-001                  7.8554722023237322E-001                  1.0471860799101367E-001                 -6.2193123789230431E-001                  1.1629957421672692E+000                  1.1163380947358092E+000                  2.8190460466211320E-001                 -2.5593506638699520E-001                 -7.5834019977836520E-001                                        5 
                 2.8173257176583335E+000                  7.4999999986310550E-001                 -1.6588328680224592E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6956764235776407E+000                  1.8848982112869763E+000                  1.0743550949408327E+000                  2.1642404268438895E+000                 -3.6989700043360663E+000                 -4.2431406105542372E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3248997191233971E+000                  5.6995450254618794E+000                  8.4784063632587586E-002                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4416073257056058E-005                  7.5940000000000007E-001                  2.5583398265620446E-005                  2.4037441660173442E-001                  3.4416073257056065E-005                  9.3604492797731760E-005                  4.9023392258781323E-001                 -7.7494688919475072E-002                  6.4912858312448130E-001                 -1.1357113459921755E+000                 -1.0890818085345206E+000                 -2.5467235201324345E-001                  2.8315160413172236E-001                  7.8554181822665115E-001                  1.0524916070203459E-001                 -6.2137411134192178E-001                  1.1634658177747350E+000                  1.1168362803170802E+000                  2.8242682379580297E-001                 -2.5539713234916284E-001                 -7.5778734644409163E-001                                        5 
                 1.7444397846610439E+001                  7.4999999915433457E-001                 -1.6576166899985424E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6957265223768676E+000                  1.8835907630045892E+000                  1.0736011732011868E+000                  2.1657482699127613E+000                 -3.6989700043360663E+000                 -4.1509747917209761E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3232262827753680E+000                  5.7006588420158764E+000                  8.4675588496820511E-002                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620443E-005                  2.4037441660173442E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  4.9023392258781323E-001                 -7.7385257472258412E-002                  6.4906789134969767E-001                 -1.1352133751409830E+000                 -1.0887647464669401E+000                 -2.5450996389748265E-001                  2.8321285504213600E-001                  7.8550705226454043E-001                  1.0840834996078572E-001                 -6.1804479886117036E-001                  1.1662364676295103E+000                  1.1197878389554674E+000                  2.8553305638600995E-001                 -2.5218976255360870E-001                 -7.5448395977601312E-001                                        5 
                 1.0801137310051506E+002                  7.4999999483245960E-001                 -1.6503373647638242E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6960301891632139E+000                  1.8756572697128466E+000                  1.0690270929826220E+000                  2.1748964278472687E+000                 -3.6989700043360663E+000                 -3.9891254406041806E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3109980996528505E+000                  5.7055742856915845E+000                  8.4512089809968341E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5940000000000007E-001                  2.5583398265620439E-005                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731746E-005                  4.9023392258781318E-001                 -7.6723830541062285E-002                  6.4869929998740905E-001                 -1.1321949947995431E+000                 -1.0868429192967168E+000                 -2.5352567115198971E-001                  2.8358411882885209E-001                  7.8529632327039411E-001                  1.2758065625894616E-001                 -5.9784247426952519E-001                  1.1830518205174270E+000                  1.1376997450146007E+000                  3.0438249686987356E-001                 -2.3272729311096824E-001                 -7.3443949755251026E-001                                        5 
