                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20201220"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                                star_age                                star_mass                                   log_LH                                  log_LHe                             he_core_mass                              c_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                          log_surf_cell_z                        v_div_csound_surf            surf_avg_omega_div_omega_crit                  surf_r_equatorial_div_r                       surf_r_polar_div_r                             log_cntr_Rho                               log_cntr_T                             center_gamma                                center_h1                               center_he4                               center_c12                               surface_h1                              surface_he3                              surface_he4                              surface_c12                              surface_o16                 surf_num_c12_div_num_o16                                 bc_F606W                                 bc_F814W                                  bc_bb_U                                  bc_bb_B                                  bc_bb_V                                  bc_bb_R                                  bc_bb_I                            abs_mag_F606W                            abs_mag_F814W                             abs_mag_bb_U                             abs_mag_bb_B                             abs_mag_bb_V                             abs_mag_bb_R                             abs_mag_bb_I                                num_iters 
                 1.0000000000000001E-005                  7.9999999999999982E-001                 -1.6618704589121986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6776725686693594E+000                  1.8679784930303627E+000                  1.1019029456290885E+000                  2.1371734491468919E+000                 -3.8239087409440451E+000                 -6.2997453457431532E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3801466014151673E+000                  5.6990946888189260E+000                  8.1335686439599444E-002                  7.5954999999999995E-001                  2.4027442724374695E-001                  2.5812054942811148E-005                  7.5954999999999984E-001                  2.5572756253030750E-005                  2.4027442724374701E-001                  2.5812054942811144E-005                  7.0203369598350750E-005                  4.9023392258781323E-001                 -1.3070024420477211E-001                  6.5536954561237792E-001                 -1.3211337569668862E+000                 -1.2082020270278755E+000                 -3.1724905095786038E-001                  2.5771964487056831E-001                  7.9525357111385508E-001                  2.0075401162886586E-001                 -5.8531577818828417E-001                  1.3911875243909799E+000                  1.2782557944519692E+000                  3.8730281838195413E-001                 -1.8766587744647456E-001                 -7.2519980368976134E-001                                        5 
                 2.5958682111999992E-004                  7.9999999999998805E-001                 -1.6618705520794055E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6755557557825558E+000                  1.8591963393846773E+000                  1.1017454945798526E+000                  2.1374883512453571E+000                 -3.8239087409440451E+000                 -5.1900075931389490E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3801464384341529E+000                  5.6990947968266248E+000                  8.1335676386154396E-002                  7.5954999999999995E-001                  2.4027442724374698E-001                  2.5812054942811148E-005                  7.5954999999999995E-001                  2.5572756253030757E-005                  2.4027442724374701E-001                  2.5812054942811148E-005                  7.0203369598350763E-005                  4.9023392258781323E-001                 -1.3783579878513141E-001                  6.5526944221381367E-001                 -1.3438956152087012E+000                 -1.2229766805017750E+000                 -3.2523373510432252E-001                  2.5422109266841519E-001                  7.9598141694759728E-001                  2.2984495032343866E-001                 -5.6326029067550643E-001                  1.4359047667470084E+000                  1.3149858320400822E+000                  4.1724288664262976E-001                 -1.6221194113010795E-001                 -7.0397226540929003E-001                                        5 
                 1.8668799962237360E-003                  7.9999999999991733E-001                 -1.6618706888073870E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6685794577733013E+000                  1.8301318941253952E+000                  1.1011658679687211E+000                  2.1386476044675815E+000                 -3.8239087409440451E+000                 -2.3235652595296710E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3801459625086072E+000                  5.6990951127464173E+000                  8.1335646930782143E-002                  7.5954999999999995E-001                  2.4027442724374701E-001                  2.5812054942811148E-005                  7.5954999999999984E-001                  2.5572756253030750E-005                  2.4027442724374701E-001                  2.5812054942811144E-005                  7.0203369598350777E-005                  4.9023392258781306E-001                 -1.6134859113381544E-001                  6.5493816129515348E-001                 -1.4204319991686782E+000                 -1.2728858729697636E+000                 -3.5254335619405802E-001                  2.4188468093500443E-001                  7.9772116830398243E-001                  3.2601885582032736E-001                 -4.9026789660864156E-001                  1.5851022638551902E+000                  1.4375561376562755E+000                  5.1721362088056999E-001                 -7.7214416248492512E-002                 -6.3305090361747052E-001                                        5 
                 1.1818815689988476E-002                  7.9999999999951432E-001                 -1.6618704159572928E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6600648849206214E+000                  1.7941927786234566E+000                  1.1002254559231115E+000                  2.1405284285585817E+000                 -3.8239087409440451E+000                 -4.1774164164649925E-003                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3801453362195790E+000                  5.6990955331461901E+000                  8.1335607294982709E-002                  7.5954999999999995E-001                  2.4027442724374701E-001                  2.5812054942811144E-005                  7.5954999999999973E-001                  2.5572756253030747E-005                  2.4027442724374701E-001                  2.5812054942811148E-005                  7.0203369598350791E-005                  4.9023392258781306E-001                 -1.9101725103369985E-001                  6.5371714028406924E-001                 -1.5168834465914449E+000                 -1.3362308847437445E+000                 -3.8786334661581545E-001                  2.2521619180610922E-001                  7.9852575377191826E-001                  4.4553530447505874E-001                 -3.9919908684271033E-001                  1.7714015000328038E+000                  1.5907489381851034E+000                  6.4238140005717437E-001                  2.9301861635249699E-002                 -5.4400770033055934E-001                                        4 
                 7.3438578398454205E-002                  7.9999999999715521E-001                 -1.6618679419377720E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6569256162438299E+000                  1.7803856107341962E+000                  1.0996004093320644E+000                  2.1417785217393956E+000                 -3.8239087409440451E+000                 -2.8258681613224456E-004                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3801429759684050E+000                  5.6990971318195660E+000                  8.1335455236437273E-002                  7.5954999999999995E-001                  2.4027442724374701E-001                  2.5812054942811144E-005                  7.5954999999999984E-001                  2.5572756253030754E-005                  2.4027442724374698E-001                  2.5812054942811148E-005                  7.0203369598350791E-005                  4.9023392258781306E-001                 -2.0598420129443057E-001                  6.4992547199022244E-001                 -1.5534123214193083E+000                 -1.3603597837923702E+000                 -4.0151948925122571E-001                  2.1855682164744056E-001                  7.9840130753115246E-001                  4.9502017445894059E-001                 -3.6088949882571242E-001                  1.8424482945838183E+000                  1.6493957569568802E+000                  6.9055546241573573E-001                  7.0479151517069460E-002                 -5.0936533436664244E-001                                        6 
                 4.5497190750010674E-001                  7.9999999998273164E-001                 -1.6618459268235242E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6566108371985675E+000                  1.7787466523839659E+000                  1.0994104882474751E+000                  2.1421583639007440E+000                 -3.8239087409440451E+000                 -1.1761830649544632E-005                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3801218889276918E+000                  5.6991113132448810E+000                  8.1334115730873513E-002                  7.5954999999999995E-001                  2.4027442724374695E-001                  2.5812054942811151E-005                  7.5954999999999984E-001                  2.5572756253030750E-005                  2.4027442724374698E-001                  2.5812054942811148E-005                  7.0203369598350777E-005                  4.9023392258781318E-001                 -2.0748238083426218E-001                  6.4954258606949744E-001                 -1.5570751246255350E+000                 -1.3627792234607010E+000                 -4.0288881045986896E-001                  2.1788907695276916E-001                  7.9838882912627884E-001                  5.0061574987434787E-001                 -3.5640921702941175E-001                  1.8502084936656207E+000                  1.6559125925007867E+000                  6.9602217949995460E-001                  7.5244292087316533E-002                 -5.0525546008619315E-001                                        5 
                 2.8173257176583335E+000                  7.9999999989354831E-001                 -1.6616854214641258E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6566097599392129E+000                  1.7785200184946770E+000                  1.0992993258215400E+000                  2.1423806887041996E+000                 -3.8239087409440451E+000                 -3.5327885037182206E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3799424426458975E+000                  5.6992314370826609E+000                  8.1322822032969422E-002                  7.5954999999999995E-001                  2.4027442724374695E-001                  2.5812054942811151E-005                  7.5954999999999984E-001                  2.5572756253030750E-005                  2.4027442724374698E-001                  2.5812054942811144E-005                  7.0203369598350763E-005                  4.9023392258781318E-001                 -2.0748543389954632E-001                  6.4953888349075717E-001                 -1.5570876595483834E+000                 -1.3627875033184689E+000                 -4.0289349657996298E-001                  2.1788679178270703E-001                  7.9838878642241684E-001                  5.0118538766285392E-001                 -3.5583892972744957E-001                  1.8507876133116909E+000                  1.6564874570817765E+000                  6.9659345034327058E-001                  7.5813161980600563E-002                 -5.0468883265910924E-001                                        5 
                 1.7444397846610439E+001                  7.9999999934236121E-001                 -1.6607832755523102E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6566537711211264E+000                  1.7775951636883132E+000                  1.0987488760545310E+000                  2.1434815879389957E+000                 -3.8239087409440451E+000                 -3.4319908779719845E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3787213466819650E+000                  5.7000468898797410E+000                  8.1246380076032257E-002                  7.5954999999999995E-001                  2.4027442724374698E-001                  2.5812054942811144E-005                  7.5954999999999995E-001                  2.5572756253030747E-005                  2.4027442724374698E-001                  2.5812054942811148E-005                  7.0203369598350763E-005                  4.9023392258781323E-001                 -2.0726516892703220E-001                  6.4957991529454207E-001                 -1.5565755396858896E+000                 -1.3624492260372458E+000                 -4.0270204305390728E-001                  2.1798015342458693E-001                  7.9839053110773794E-001                  5.0327725970624937E-001                 -3.5356782451532487E-001                  1.8525876304651068E+000                  1.6584613168164630E+000                  6.9871413383312442E-001                  7.8031937354630265E-002                 -5.0237844032852075E-001                                        5 
                 1.0801137310051506E+002                  7.9999999596677207E-001                 -1.6554068286595879E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6569226616129704E+000                  1.7719697182972396E+000                  1.0953983723753049E+000                  2.1501825934649479E+000                 -3.8239087409440451E+000                 -3.3344562344485652E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3702174500047550E+000                  5.7041810816031759E+000                  8.1003626152085215E-002                  7.5954999999999995E-001                  2.4027442724374698E-001                  2.5812054942811148E-005                  7.5954999999999995E-001                  2.5572756253030747E-005                  2.4027442724374695E-001                  2.5812054942811144E-005                  7.0203369598350763E-005                  4.9023392258781318E-001                 -2.0592059658161371E-001                  6.4983056038969100E-001                 -1.5534466946998742E+000                 -1.3603824888283356E+000                 -4.0153233953540401E-001                  2.1855055525133787E-001                  7.9840119042857072E-001                  5.1599630083851489E-001                 -3.3975485613278988E-001                  1.8635223989567753E+000                  1.6704581930852367E+000                  7.1160804379230513E-001                  9.1525149005563244E-002                 -4.8832548617166960E-001                                        5 
