    0.221766059946871463E+01    0.857371826121714520E+01   -0.691120275330168177E+00    0.106834724438691455E+04    0.675608227894636953E-01   -0.235381059854641954E+02
    0.113985010020679334E+01    0.849615659918487687E+01   -0.164391309504806138E+01    0.102073216588760158E+04    0.615748093853411893E+00   -0.225755164701618014E+02
    0.218793745952473007E+01    0.719828089300334284E+01   -0.967612311966052907E-01    0.530064887209851804E+03    0.484577548149432047E+00   -0.211446898193200070E+02
    0.150906788374812928E+01    0.893022599697881780E+01    0.484363022823224298E-01    0.346846162399790217E+03    0.107912371161536180E+00   -0.204134898818931987E+02
    0.114822774457822963E+01    0.727620246260700032E+01   -0.866474463656223826E-01    0.970307163849369317E+03    0.129054159638416592E-01   -0.196943473635450808E+02
    0.255999126860601089E+01    0.826974618970206876E+01   -0.441176773267049072E+00    0.248676320139234667E+04    0.464132470951442666E+00   -0.195991434006473568E+02
    0.396101882617449497E+00    0.970843330485192268E+01    0.436521972216213250E+00    0.843718186593519704E+03    0.109772545807922367E+00   -0.193280387545642398E+02
    0.325652746402619009E+01    0.745791678528043533E+01   -0.252252891493557119E+00    0.288030924950467670E+04    0.506610966910335803E+00   -0.191249466264518873E+02
    0.133854144790561058E+01    0.928085025409675879E+01    0.404499040755323058E+00    0.127830948065080929E+04    0.690206975952379453E+00   -0.188456411142589033E+02
    0.233185855046254442E+01    0.811121412623619875E+01   -0.325505803466304311E+00    0.162855662484084701E+04    0.818642913944339301E+00   -0.187510403938621515E+02
    0.155747822589531570E+01    0.892217160402239529E+01    0.216323422679630006E+00    0.184276411428418692E+04    0.683358492835749454E-01   -0.187331590401690313E+02
    0.229479205204249803E+01    0.840515938104632632E+01   -0.121284866404002933E+00    0.229308337232815029E+04    0.252878763657308547E+00   -0.185265755252653541E+02
    0.117793969260016063E+00    0.702534684816220967E+01    0.218108846497038655E+00    0.291148094582444810E+04    0.717526125280442129E+00   -0.181417243074744619E+02
    0.156635834066520596E+01    0.809739469634624953E+01   -0.177029591958143495E+00    0.874772266503205628E+03    0.506812972198080858E+00   -0.181340350248917090E+02
