# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Thu Mar 12 11:40:30 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: HST/ACS WFC
# Attention: photometry includes extinction of Av=0.31, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F502Nmag  F550Mmag  F555Wmag  F606Wmag  F625Wmag  F658Nmag  F660Nmag  F775Wmag  F814Wmag  F850LPmag
0.00027635 -1.75000 10.11400 0.5500000715 2.2836585045    0.550 -0.823  3.7014  4.759    1  0.000  0.544     0.00     0.00 -1 -1.06e-14      0.00 7.876e-01 2.122e-01 4.735e-05 1.278e-05 1.160e-04 -1.000 2.187e-04 6.828 8.278 7.911 7.708 7.291 7.440 7.129 6.903 6.632 6.708 6.390 6.311 6.109
0.00027635 -1.75000 10.11400 0.6000000238 2.3211214542    0.600 -0.607  3.7287  4.690    1  0.000  0.544     0.00     0.00 -1 -1.81e-14      0.00 8.004e-01 1.994e-01 4.488e-05 1.212e-05 1.101e-04 -1.000 2.576e-04 6.289 7.557 7.242 7.057 6.692 6.823 6.549 6.344 6.092 6.163 5.878 5.808 5.628
0.00027635 -1.75000 10.11400 0.6060909033 2.3252019882    0.606 -0.580  3.7324  4.682    1  0.000  0.543     0.00     0.00 -1 -1.94e-14      0.00 8.022e-01 1.975e-01 4.452e-05 1.203e-05 1.092e-04 -1.000 2.670e-04 6.219 7.465 7.157 6.975 6.616 6.745 6.476 6.274 6.025 6.095 5.814 5.745 5.568
0.00027635 -1.75000 10.11400 0.6165307164 2.3319809437    0.616 -0.532  3.7389  4.667    1  0.000  0.543     0.00     0.00 -1 -2.18e-14      0.00 8.055e-01 1.942e-01 4.390e-05 1.186e-05 1.077e-04 -1.000 2.681e-04 6.100 7.309 7.013 6.836 6.487 6.613 6.351 6.154 5.909 5.978 5.704 5.637 5.465
0.00027635 -1.75000 10.11400 0.6262292266 2.3380460739    0.626 -0.487  3.7448  4.653    1  0.000  0.543     0.00     0.00 -1 -1.76e-20      0.00 8.088e-01 1.910e-01 4.329e-05 1.170e-05 1.063e-04 -1.000 2.627e-04 5.988 7.166 6.881 6.708 6.368 6.491 6.236 6.043 5.802 5.871 5.603 5.538 5.370
0.00027635 -1.75000 10.11400 0.6352403164 2.3434910774    0.635 -0.445  3.7501  4.638    1  0.000  0.543     0.00     0.00 -1 -5.61e-19      0.00 8.119e-01 1.879e-01 4.270e-05 1.154e-05 1.049e-04 -1.000 2.344e-04 5.883 7.033 6.757 6.589 6.257 6.377 6.129 5.939 5.703 5.770 5.509 5.445 5.281
0.00027635 -1.75000 10.11400 0.6440177560 2.3486266136    0.644 -0.404  3.7553  4.623    1  0.000  0.543     0.00     0.00 -1  -3.9e-16      0.00 8.151e-01 1.847e-01 4.211e-05 1.139e-05 1.035e-04 -1.000 2.343e-04 5.779 6.903 6.637 6.473 6.149 6.266 6.025 5.839 5.606 5.673 5.417 5.355 5.195
0.00027635 -1.75000 10.11400 0.6499999762 2.3520355225    0.650 -0.375  3.7588  4.613    1  0.000  0.542     0.00     0.00 -1 -3.24e-14      0.00 8.173e-01 1.824e-01 4.169e-05 1.127e-05 1.025e-04 -1.000 2.627e-04 5.708 6.814 6.554 6.393 6.075 6.190 5.953 5.769 5.539 5.605 5.354 5.293 5.135
0.00027635 -1.75000 10.11400 0.6536937356 2.3541045189    0.653 -0.357  3.7608  4.606    1  0.000  0.542     0.00     0.00 -1 -3.39e-14      0.00 8.190e-01 1.807e-01 4.137e-05 1.119e-05 1.017e-04 -1.000 2.598e-04 5.663 6.760 6.503 6.344 6.029 6.143 5.908 5.727 5.498 5.564 5.314 5.254 5.098
0.00027635 -1.75000 10.11400 0.6645148396 2.3600139618    0.664 -0.304  3.7667  4.583    1  0.000  0.542     0.00     0.00 -1 -2.68e-14      0.00 8.243e-01 1.755e-01 4.040e-05 1.093e-05 9.936e-05 -1.000 2.260e-04 5.530 6.601 6.354 6.200 5.894 6.004 5.776 5.599 5.375 5.439 5.196 5.137 4.986
